timestamp,open,high,low,close
1277581380000,1254.82,1254.82,1254.82,1254.82
1277581440000,1254.82,1254.82,1254.82,1254.82
1277581500000,1254.82,1254.82,1254.82,1254.82
1277581560000,1254.82,1254.82,1254.82,1254.82
1277581620000,1254.82,1254.82,1254.82,1254.82
1277581680000,1254.82,1254.82,1254.82,1254.82
1277581740000,1254.82,1254.82,1254.82,1254.82
1277581800000,1254.82,1254.82,1254.82,1254.82
1277581860000,1254.82,1254.82,1254.82,1254.82
1277581920000,1254.82,1254.82,1254.82,1254.82
1277581980000,1254.82,1254.82,1254.82,1254.82
1277582040000,1254.82,1254.82,1254.82,1254.82
1277582100000,1254.82,1254.82,1254.82,1254.82
1277582160000,1254.82,1254.82,1254.82,1254.82
1277582220000,1254.82,1254.82,1254.82,1254.82
1277582280000,1254.82,1254.82,1254.82,1254.82
1277582340000,1254.82,1254.82,1254.82,1254.82
1277582400000,1254.82,1254.82,1254.82,1254.82
1277582460000,1254.82,1254.82,1254.82,1254.82
1277582520000,1254.82,1254.82,1254.82,1254.82
1277582580000,1254.82,1254.82,1254.82,1254.82
1277582640000,1254.82,1254.82,1254.82,1254.82
1277582700000,1254.82,1254.82,1254.82,1254.82
1277582760000,1254.82,1254.82,1254.82,1254.82
1277582820000,1254.82,1254.82,1254.82,1254.82
1277582880000,1254.82,1254.82,1254.82,1254.82
1277582940000,1254.82,1254.82,1254.82,1254.82
1277583000000,1254.82,1254.82,1254.82,1254.82
1277583060000,1254.82,1254.82,1254.82,1254.82
1277583120000,1254.82,1254.82,1254.82,1254.82
1277583180000,1254.82,1254.82,1254.82,1254.82
1277583240000,1254.82,1254.82,1254.82,1254.82
1277583300000,1254.82,1254.82,1254.82,1254.82
1277583360000,1254.82,1254.82,1254.82,1254.82
1277583420000,1254.82,1254.82,1254.82,1254.82
1277583480000,1254.82,1254.82,1254.82,1254.82
1277583540000,1254.82,1254.82,1254.82,1254.82
1277583600000,1254.82,1254.82,1254.82,1254.82
1277583660000,1254.82,1254.82,1254.82,1254.82
1277583720000,1254.82,1254.82,1254.82,1254.82
1277583780000,1254.82,1254.82,1254.82,1254.82
1277583840000,1254.82,1254.82,1254.82,1254.82
1277583900000,1254.82,1254.82,1254.82,1254.82
1277583960000,1254.82,1254.82,1254.82,1254.82
1277584020000,1254.82,1254.82,1254.82,1254.82
1277584080000,1254.82,1254.82,1254.82,1254.82
1277584140000,1254.82,1254.82,1254.82,1254.82
1277584200000,1254.82,1254.82,1254.82,1254.82
1277584260000,1254.82,1254.82,1254.82,1254.82
1277584320000,1254.82,1254.82,1254.82,1254.82
1277584380000,1254.82,1254.82,1254.82,1254.82
1277584440000,1254.82,1254.82,1254.82,1254.82
1277584500000,1254.82,1254.82,1254.82,1254.82
1277584560000,1254.82,1254.82,1254.82,1254.82
1277584620000,1254.82,1254.82,1254.82,1254.82
1277584680000,1254.82,1254.82,1254.82,1254.82
1277584740000,1254.82,1254.82,1254.82,1254.82
1277584800000,1254.82,1254.82,1254.82,1254.82
1277584860000,1254.82,1254.82,1254.82,1254.82
1277584920000,1254.82,1254.82,1254.82,1254.82
1277584980000,1254.82,1254.82,1254.82,1254.82
1277585040000,1254.82,1254.82,1254.82,1254.82
1277585100000,1254.82,1254.82,1254.82,1254.82
1277585160000,1254.82,1254.82,1254.82,1254.82
1277585220000,1254.82,1254.82,1254.82,1254.82
1277585280000,1254.82,1254.82,1254.82,1254.82
1277585340000,1254.82,1254.82,1254.82,1254.82
1277585400000,1254.82,1254.82,1254.82,1254.82
1277585460000,1254.82,1254.82,1254.82,1254.82
1277585520000,1254.82,1254.82,1254.82,1254.82
1277585580000,1254.82,1254.82,1254.82,1254.82
1277585640000,1254.82,1254.82,1254.82,1254.82
1277585700000,1254.82,1254.82,1254.82,1254.82
1277585760000,1254.82,1254.82,1254.82,1254.82
1277585820000,1254.82,1254.82,1254.82,1254.82
1277585880000,1254.82,1254.82,1254.82,1254.82
1277585940000,1254.82,1254.82,1254.82,1254.82
1277586000000,1254.82,1254.82,1254.82,1254.82
1277586060000,1254.82,1254.82,1254.82,1254.82
1277586120000,1254.82,1254.82,1254.82,1254.82
1277586180000,1254.82,1254.82,1254.82,1254.82
1277586240000,1254.82,1254.82,1254.82,1254.82
1277586300000,1254.82,1254.82,1254.82,1254.82
1277586360000,1254.82,1254.82,1254.82,1254.82
